Name of the Instrument,ISIN,Industry / Rating,Quantity,"Market/Fair Value
 (Rs. in Lakhs)","% to Net
 Assets",YTM~,YTC^,AMC Name,Scheme Name,Rating,Industry,ESG Score $,Core ESG Score,Link to BRSR
Cholamandalam Investment and Finance Company Ltd (CCD),INE121A08PJ0,Finance,1800.0,2141.9722,0.0056,7.2625%#,,Axis Mutual Fund,AXISDEF,,,,,
United Spirits Limited,INE854D01024,Beverages,143962.0,2078.3794,0.0054,,,Axis Mutual Fund,AXISDEF,,,,,
HCL Technologies Limited,INE860A01027,IT - Software,126838.0,2058.9613,0.0054,,,Axis Mutual Fund,AXISDEF,,,,,
Tata Motors Ltd,INE1TAE01010,"Agricultural, Commercial & Construction Vehicles",492702.0,2047.1768,0.0054,,,Axis Mutual Fund,AXISDEF,,,,,
LG Electronics India Ltd,INE324D01010,Consumer Durables,134160.0,2041.1102,0.0053,,,Axis Mutual Fund,AXISDEF,,,,,
Vijaya Diagnostic Centre Limited,INE043W01024,Healthcare Services,189557.0,2011.1998,0.0053,,,Axis Mutual Fund,AXISDEF,,,,,
Varun Beverages Limited,INE200M01039,Beverages,398581.0,1952.449,0.0051,,,Axis Mutual Fund,AXISDEF,,,,,
Mankind Pharma Limited,INE634S01028,Pharmaceuticals & Biotechnology,86275.0,1895.0304,0.005,,,Axis Mutual Fund,AXISDEF,,,,,
Premier Energies Limited,INE0BS701011,Electrical Equipment,214563.0,1806.9423,0.0047,,,Axis Mutual Fund,AXISDEF,,,,,
CG Power and Industrial Solutions Limited,INE067A01029,Electrical Equipment,260405.0,1687.164,0.0044,,,Axis Mutual Fund,AXISDEF,,,,,
REC Limited,INE020B01018,Finance,469860.0,1676.4605,0.0044,,,Axis Mutual Fund,AXISDEF,,,,,
PNB Housing Finance Limited,INE572E01012,Finance,168818.0,1606.3033,0.0042,,,Axis Mutual Fund,AXISDEF,,,,,
Grasim Industries Limited,INE047A01021,Cement & Cement Products,55570.0,1572.0753,0.0041,,,Axis Mutual Fund,AXISDEF,,,,,
Torrent Pharmaceuticals Limited,INE685A01028,Pharmaceuticals & Biotechnology,39919.0,1536.8815,0.004,,,Axis Mutual Fund,AXISDEF,,,,,
Bajaj Auto Limited,INE917I01010,Automobiles,15460.0,1444.4278,0.0038,,,Axis Mutual Fund,AXISDEF,,,,,
Asian Paints Limited,INE021A01026,Consumer Durables,50502.0,1398.6529,0.0037,,,Axis Mutual Fund,AXISDEF,,,,,
Avenue Supermarts Limited,INE192R01011,Retailing,36093.0,1365.1094,0.0036,,,Axis Mutual Fund,AXISDEF,,,,,
Jyoti CNC Automation Ltd,INE980O01024,Industrial Manufacturing,132256.0,1308.4086,0.0034,,,Axis Mutual Fund,AXISDEF,,,,,
PI Industries Limited,INE603J01030,Fertilizers & Agrochemicals,40229.0,1302.6955,0.0034,,,Axis Mutual Fund,AXISDEF,,,,,
Knowledge Realty Trust,INE1JAR25012,Realty,1066650.0,1301.4197,0.0034,,,Axis Mutual Fund,AXISDEF,,,,,
Sona BLW Precision Forgings Limited,INE073K01018,Auto Components,248953.0,1193.4807,0.0031,,,Axis Mutual Fund,AXISDEF,,,,,
Indian Bank,INE562A01011,Banks,142000.0,1188.895,0.0031,,,Axis Mutual Fund,AXISDEF,,,,,
Oil & Natural Gas Corporation Limited,INE213A01029,Oil,463768.0,1114.8055,0.0029,,,Axis Mutual Fund,AXISDEF,,,,,
Tata Consumer Products Limited,INE192A01025,Agricultural Food & other Products,91384.0,1089.2973,0.0029,,,Axis Mutual Fund,AXISDEF,,,,,
PG Electroplast Limited,INE457L01029,Consumer Durables,171703.0,987.8074,0.0026,,,Axis Mutual Fund,AXISDEF,,,,,
UltraTech Cement Limited,INE481G01011,Cement & Cement Products,8339.0,982.6678,0.0026,,,Axis Mutual Fund,AXISDEF,,,,,
Kaynes Technology India Limited,INE918Z01012,Industrial Manufacturing,23493.0,942.7741,0.0025,,,Axis Mutual Fund,AXISDEF,,,,,
The Federal Bank Limited,INE171A01029,Banks,340865.0,910.4504,0.0024,,,Axis Mutual Fund,AXISDEF,,,,,
Eicher Motors Limited,INE066A01021,Automobiles,11400.0,833.625,0.0022,,,Axis Mutual Fund,AXISDEF,,,,,
Max Healthcare Institute Limited,INE027H01010,Healthcare Services,75316.0,787.1275,0.0021,,,Axis Mutual Fund,AXISDEF,,,,,
Brigade Enterprises Limited,INE791I01019,Realty,88348.0,781.8798,0.002,,,Axis Mutual Fund,AXISDEF,,,,,
Tenneco Clean Air India Limited,INE19RI01016,Auto Components,151145.0,767.6655,0.002,,,Axis Mutual Fund,AXISDEF,,,,,
DLF Limited,INE271C01023,Realty,110762.0,761.378,0.002,,,Axis Mutual Fund,AXISDEF,,,,,
Power Grid Corporation of India Limited,INE752E01010,Power,269079.0,711.983,0.0019,,,Axis Mutual Fund,AXISDEF,,,,,
Awfis Space Solutions Limited,INE108V01019,Commercial Services & Supplies,142850.0,703.9648,0.0018,,,Axis Mutual Fund,AXISDEF,,,,,
UNO Minda Limited,INE405E01023,Auto Components,41250.0,530.3925,0.0014,,,Axis Mutual Fund,AXISDEF,,,,,
Mphasis Limited,INE356A01018,IT - Software,18683.0,521.4799,0.0014,,,Axis Mutual Fund,AXISDEF,,,,,
Bharat Heavy Electricals Limited,INE257A01026,Electrical Equipment,168000.0,482.916,0.0013,,,Axis Mutual Fund,AXISDEF,,,,,
Wework India Management Limited,INE085001019,Commercial Services & Supplies,77970.0,471.4456,0.0012,,,Axis Mutual Fund,AXISDEF,,,,,
Aditya Infotech Limited,INE819V01029,Industrial Manufacturing,30204.0,450.1302,0.0012,,,Axis Mutual Fund,AXISDEF,,,,,
Info Edge (India) Limited,INE663F01032,Retailing,29405.0,392.1451,0.001,,,Axis Mutual Fund,AXISDEF,,,,,
Dixon Technologies (India) Limited,INE935N01020,Consumer Durables,2892.0,349.9898,0.0009,,,Axis Mutual Fund,AXISDEF,,,,,
Tata Motors Passenger Vehicles Limited,INE155A01022,Automobiles,77384.0,284.2701,0.0007,,,Axis Mutual Fund,AXISDEF,,,,,
Titagarh Rail Systems Limited,INE615H01020,Industrial Manufacturing,30813.0,274.8366,0.0007,,,Axis Mutual Fund,AXISDEF,,,,,
L&T Finance Limited,INE498L01015,Finance,85500.0,270.1373,0.0007,,,Axis Mutual Fund,AXISDEF,,,,,
IndusInd Bank Limited,INE095A01012,Banks,29400.0,254.0748,0.0007,,,Axis Mutual Fund,AXISDEF,,,,,
Lupin Limited,INE326A01037,Pharmaceuticals & Biotechnology,10200.0,215.169,0.0006,,,Axis Mutual Fund,AXISDEF,,,,,
Bajaj Finserv Limited,INE918I01026,Finance,9500.0,193.7905,0.0005,,,Axis Mutual Fund,AXISDEF,,,,,
TBO Tek Limited,INE673O01025,Leisure Services,11497.0,191.1606,0.0005,,,Axis Mutual Fund,AXISDEF,,,,,
Canara Bank,INE476A01022,Banks,101250.0,156.8464,0.0004,,,Axis Mutual Fund,AXISDEF,,,,,
Aditya Birla Capital Limited,INE674K01013,Finance,40300.0,144.1531,0.0004,,,Axis Mutual Fund,AXISDEF,,,,,
Bank of Baroda,INE028A01039,Banks,46800.0,138.4812,0.0004,,,Axis Mutual Fund,AXISDEF,,,,,
Laurus Labs Limited,INE947Q01028,Pharmaceuticals & Biotechnology,11900.0,131.852,0.0003,,,Axis Mutual Fund,AXISDEF,,,,,
ICICI Prudential Life Insurance Company Limited,INE726G01019,Insurance,16650.0,111.2636,0.0003,,,Axis Mutual Fund,AXISDEF,,,,,
Nestle India Limited,INE239A01024,Food Products,7900.0,101.752,0.0003,,,Axis Mutual Fund,AXISDEF,,,,,
Indus Towers Limited,INE121J01017,Telecom - Services,17000.0,71.1875,0.0002,,,Axis Mutual Fund,AXISDEF,,,,,
Exide Industries Limited,INE302A01020,Auto Components,14400.0,52.1568,0.0001,,,Axis Mutual Fund,AXISDEF,,,,,
Kwality Walls (India) Limited,INE2KCE01013,Food Products,127200.0,51.1344,0.0001,,,Axis Mutual Fund,AXISDEF,,,,,
Biocon Limited,INE376G01013,Pharmaceuticals & Biotechnology,12500.0,49.2375,0.0001,,,Axis Mutual Fund,AXISDEF,,,,,
Ambuja Cements Limited,INE079A01024,Cement & Cement Products,6641.0,36.9472,0.0001,,,Axis Mutual Fund,AXISDEF,,,,,
Crompton Greaves Consumer Electricals Limited,INE299U01018,Consumer Durables,9000.0,22.7025,0.0001,,,Axis Mutual Fund,AXISDEF,,,,,
Glenmark Pharmaceuticals Limited,INE935A01035,Pharmaceuticals & Biotechnology,750.0,15.264,$0.00%,,,Axis Mutual Fund,AXISDEF,,,,,
Coal India Limited,INE522F01014,Consumable Fuels,3702.0,14.771,$0.00%,,,Axis Mutual Fund,AXISDEF,,,,,
Aurobindo Pharma Limited,INE406A01037,Pharmaceuticals & Biotechnology,1100.0,13.013,$0.00%,,,Axis Mutual Fund,AXISDEF,,,,,
GMR Airports Limited,INE776C01039,Transport Infrastructure,6975.0,7.2798,$0.00%,,,Axis Mutual Fund,AXISDEF,,,,,
Cholamandalam Investment and Finance Company Ltd,INE121A01024,Finance,197.0,3.3533,$0.00%,,,Axis Mutual Fund,AXISDEF,,,,,
Vedant Fashions Limited,INE825V01034,Retailing,2.0,0.0116,$0.00%,,,Axis Mutual Fund,AXISDEF,,,,,
Sub Total,,,,272531.9441,0.7141,,,Axis Mutual Fund,AXISDEF,,,,,
(b) Unlisted,,,,NIL,NIL,,,Axis Mutual Fund,AXISDEF,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISDEF,,,,,
Total,,,,272531.9441,0.7141,,,Axis Mutual Fund,AXISDEF,,,,,
Derivatives,,,,,,,,Axis Mutual Fund,AXISDEF,,,,,
(a) Index / Stock Futures,,,,,,,,Axis Mutual Fund,AXISDEF,,,,,
GMR Airports Limited January 2026 Future,,,-6975.0,-7.3119,$0.00%,,,Axis Mutual Fund,AXISDEF,,,,,
Apollo Hospitals Enterprise Limited January 2026 Future,,,-125.0,-8.8606,$0.00%,,,Axis Mutual Fund,AXISDEF,,,,,
Aurobindo Pharma Limited January 2026 Future,,,-1100.0,-13.0845,$0.00%,,,Axis Mutual Fund,AXISDEF,,,,,
Glenmark Pharmaceuticals Limited January 2026 Future,,,-750.0,-15.321,$0.00%,,,Axis Mutual Fund,AXISDEF,,,,,
Crompton Greaves Consumer Electricals Limited January 2026 Future,,,-9000.0,-22.8645,-0.0001,,,Axis Mutual Fund,AXISDEF,,,,,
Torrent Pharmaceuticals Limited January 2026 Future,,,-1250.0,-48.07,-0.0001,,,Axis Mutual Fund,AXISDEF,,,,,
Biocon Limited January 2026 Future,,,-12500.0,-49.4875,-0.0001,,,Axis Mutual Fund,AXISDEF,,,,,
Exide Industries Limited January 2026 Future,,,-14400.0,-52.5096,-0.0001,,,Axis Mutual Fund,AXISDEF,,,,,
Titan Company Limited January 2026 Future,,,-1575.0,-64.0269,-0.0002,,,Axis Mutual Fund,AXISDEF,,,,,
PG Electroplast Limited January 2026 Future,,,-12350.0,-71.1607,-0.0002,,,Axis Mutual Fund,AXISDEF,,,,,
Indus Towers Limited January 2026 Future,,,-17000.0,-71.604,-0.0002,,,Axis Mutual Fund,AXISDEF,,,,,
ICICI Prudential Life Insurance Company Limited January 2026 Future,,,-16650.0,-111.7382,-0.0003,,,Axis Mutual Fund,AXISDEF,,,,,
Laurus Labs Limited January 2026 Future,,,-11900.0,-132.6731,-0.0003,,,Axis Mutual Fund,AXISDEF,,,,,
Mphasis Limited January 2026 Future,,,-4950.0,-138.7287,-0.0004,,,Axis Mutual Fund,AXISDEF,,,,,
Bank of Baroda January 2026 Future,,,-46800.0,-139.3938,-0.0004,,,Axis Mutual Fund,AXISDEF,,,,,
Aditya Birla Capital Limited January 2026 Future,,,-40300.0,-145.08,-0.0004,,,Axis Mutual Fund,AXISDEF,,,,,
Info Edge (India) Limited January 2026 Future,,,-11250.0,-150.9188,-0.0004,,,Axis Mutual Fund,AXISDEF,,,,,
Canara Bank January 2026 Future,,,-101250.0,-157.0691,-0.0004,,,Axis Mutual Fund,AXISDEF,,,,,
Shriram Finance Limited January 2026 Future,,,-18150.0,-181.2822,-0.0005,,,Axis Mutual Fund,AXISDEF,,,,,
Kotak Mahindra Bank Limited January 2026 Future,,,-8400.0,-185.5728,-0.0005,,,Axis Mutual Fund,AXISDEF,,,,,
Bajaj Finserv Limited January 2026 Future,,,-9500.0,-194.465,-0.0005,,,Axis Mutual Fund,AXISDEF,,,,,
IndusInd Bank Limited January 2026 Future,,,-29400.0,-255.0303,-0.0007,,,Axis Mutual Fund,AXISDEF,,,,,
L&T Finance Limited January 2026 Future,,,-85500.0,-270.3938,-0.0007,,,Axis Mutual Fund,AXISDEF,,,,,
CG Power and Industrial Solutions Limited January 2026 Future,,,-51000.0,-331.653,-0.0009,,,Axis Mutual Fund,AXISDEF,,,,,
ITC Limited January 2026 Future,,,-84800.0,-343.7792,-0.0009,,,Axis Mutual Fund,AXISDEF,,,,,
DLF Limited January 2026 Future,,,-68475.0,-473.7101,-0.0012,,,Axis Mutual Fund,AXISDEF,,,,,
HDFC Life Insurance Company Limited January 2026 Future,,,-63800.0,-481.1477,-0.0013,,,Axis Mutual Fund,AXISDEF,,,,,
Bharat Heavy Electricals Limited January 2026 Future,,,-168000.0,-485.856,-0.0013,,,Axis Mutual Fund,AXISDEF,,,,,
UNO Minda Limited January 2026 Future,,,-41250.0,-531.8363,-0.0014,,,Axis Mutual Fund,AXISDEF,,,,,
Power Grid Corporation of India Limited January 2026 Future,,,-212800.0,-565.1968,-0.0015,,,Axis Mutual Fund,AXISDEF,,,,,
Hindustan Aeronautics Limited January 2026 Future,,,-13050.0,-575.7269,-0.0015,,,Axis Mutual Fund,AXISDEF,,,,,
Bharat Electronics Limited January 2026 Future,,,-143925.0,-578.8664,-0.0015,,,Axis Mutual Fund,AXISDEF,,,,,
Oil & Natural Gas Corporation Limited January 2026 Future,,,-254250.0,-615.4884,-0.0016,,,Axis Mutual Fund,AXISDEF,,,,,
UltraTech Cement Limited January 2026 Future,,,-5250.0,-622.4925,-0.0016,,,Axis Mutual Fund,AXISDEF,,,,,
Max Healthcare Institute Limited January 2026 Future,,,-59850.0,-628.844,-0.0016,,,Axis Mutual Fund,AXISDEF,,,,,
REC Limited January 2026 Future,,,-180600.0,-648.1734,-0.0017,,,Axis Mutual Fund,AXISDEF,,,,,
Tata Steel Limited January 2026 Future,,,-407000.0,-736.9142,-0.0019,,,Axis Mutual Fund,AXISDEF,,,,,
Samvardhana Motherson International Limited January 2026 Future,,,-670350.0,-808.308,-0.0021,,,Axis Mutual Fund,AXISDEF,,,,,
The Federal Bank Limited January 2026 Future,,,-310000.0,-828.94,-0.0022,,,Axis Mutual Fund,AXISDEF,,,,,
Eicher Motors Limited January 2026 Future,,,-11400.0,-836.874,-0.0022,,,Axis Mutual Fund,AXISDEF,,,,,
HDFC Bank Limited January 2026 Future,,,-90200.0,-899.6548,-0.0024,,,Axis Mutual Fund,AXISDEF,,,,,
InterGlobe Aviation Limited January 2026 Future,,,-21000.0,-1066.275,-0.0028,,,Axis Mutual Fund,AXISDEF,,,,,
Indian Bank January 2026 Future,,,-142000.0,-1191.948,-0.0031,,,Axis Mutual Fund,AXISDEF,,,,,
Grasim Industries Limited January 2026 Future,,,-53500.0,-1521.0585,-0.004,,,Axis Mutual Fund,AXISDEF,,,,,
TVS Motor Company Limited January 2026 Future,,,-42525.0,-1591.3706,-0.0042,,,Axis Mutual Fund,AXISDEF,,,,,
Hindalco Industries Limited January 2026 Future,,,-180600.0,-1607.7012,-0.0042,,,Axis Mutual Fund,AXISDEF,,,,,
State Bank of India January 2026 Future,,,-193500.0,-1908.5873,-0.005,,,Axis Mutual Fund,AXISDEF,,,,,
Sun Pharmaceutical Industries Limited January 2026 Future,,,-125650.0,-2172.3629,-0.0057,,,Axis Mutual Fund,AXISDEF,,,,,
Coforge Limited January 2026 Future,,,-130500.0,-2178.045,-0.0057,,,Axis Mutual Fund,AXISDEF,,,,,
SBI Life Insurance Company Limited January 2026 Future,,,-121125.0,-2480.2766,-0.0065,,,Axis Mutual Fund,AXISDEF,,,,,
Cummins India Limited January 2026 Future,,,-59400.0,-2640.0924,-0.0069,,,Axis Mutual Fund,AXISDEF,,,,,
Reliance Industries Limited January 2026 Future,,,-219000.0,-3455.82,-0.0091,,,Axis Mutual Fund,AXISDEF,,,,,
Mahindra & Mahindra Limited January 2026 Future,,,-104400.0,-3897.6696,-0.0102,,,Axis Mutual Fund,AXISDEF,,,,,
Tata Consultancy Services Limited January 2026 Future,,,-122675.0,-3950.7484,-0.0104,,,Axis Mutual Fund,AXISDEF,,,,,
Bajaj Finance Limited January 2026 Future,,,-506250.0,-5027.5688,-0.0132,,,Axis Mutual Fund,AXISDEF,,,,,
Sub Total,,,,-48169.6325,-0.1262,,,Axis Mutual Fund,AXISDEF,,,,,
Total,,,,-48169.6325,-0.1262,,,Axis Mutual Fund,AXISDEF,,,,,
Debt Instruments,,,,,,,,Axis Mutual Fund,AXISDEF,,,,,
(a) Listed / awaiting listing on Stock Exchange,,,,,,,,Axis Mutual Fund,AXISDEF,,,,,
7.18% Government of India (14/08/2033),IN0020230085,Sovereign,7500000.0,7738.1625,0.0203,0.067506,,Axis Mutual Fund,AXISDEF,,,,,
8.75% Shriram Finance Limited (28/04/2028) **,INE721A07RL1,CRISIL AA+,5000.0,5115.46,0.0134,0.075934,,Axis Mutual Fund,AXISDEF,,,,,
8.4% Muthoot Finance Limited (28/08/2028) **,INE414G07II5,CRISIL AA+,5000.0,5069.51,0.0133,0.0777,,Axis Mutual Fund,AXISDEF,,,,,
6.79% Government of India (07/10/2034),IN0020240126,Sovereign,5000000.0,5044.815,0.0132,0.067619,,Axis Mutual Fund,AXISDEF,,,,,
8.52% Muthoot Finance Limited (07/04/2028) **,INE414G07JN3,CRISIL AA+,4200.0,4260.543,0.0112,0.0777,,Axis Mutual Fund,AXISDEF,,,,,
6.48% Government of India (06/10/2035),IN0020250091,Sovereign,4000000.0,3965.436,0.0104,0.067085,,Axis Mutual Fund,AXISDEF,,,,,
7.25% Embassy Office Parks REIT (24/07/2035),INE041007191,CRISIL AAA,3000.0,3015.876,0.0079,0.074606,,Axis Mutual Fund,AXISDEF,,,,,
9.15% Shriram Finance Limited (19/01/2029),INE721A07RY4,CRISIL AA+,2500.0,2599.175,0.0068,0.076368,,Axis Mutual Fund,AXISDEF,,,,,
8.75% Bharti Telecom Limited (05/11/2029) **,INE403D08264,CRISIL AAA,2500.0,2592.615,0.0068,0.0759,,Axis Mutual Fund,AXISDEF,,,,,
7.69% REC Limited (31/03/2033) **,INE020B08EG2,CRISIL AAA,2500.0,2561.89,0.0067,0.0723,,Axis Mutual Fund,AXISDEF,,,,,
8.65% Bharti Telecom Limited (05/11/2027) **,INE403D08231,CRISIL AAA,2500.0,2547.26,0.0067,0.0749,,Axis Mutual Fund,AXISDEF,,,,,
7.44% Power Finance Corporation Limited (15/01/2030) **,INE134E08NO0,CRISIL AAA,2500.0,2537.23,0.0066,0.07,,Axis Mutual Fund,AXISDEF,,,,,
7.47% Small Industries Dev Bank of India (05/09/2029) **,INE556F08KR0,CRISIL AAA,2500.0,2535.195,0.0066,0.07005,,Axis Mutual Fund,AXISDEF,,,,,
7.60% Bajaj Finance Limited (11/02/2030) **,INE296A07RD1,CRISIL AAA,250.0,2522.5675,0.0066,0.0733,,Axis Mutual Fund,AXISDEF,,,,,
8.58% GMR Hyderabad International Airport Limited (28/03/2034) **,INE802J07035,ICRA AA+,2500.0,2522.2425,0.0066,0.086749,,Axis Mutual Fund,AXISDEF,,,,,
7.54% Bihar State Development Loans (03/09/2033),IN1320250088,Sovereign,2500000.0,2511.8225,0.0066,0.075942,,Axis Mutual Fund,AXISDEF,,,,,
7.123% Tata Capital Housing Finance Limited (21/07/2027) **,INE033L07IO1,CRISIL AAA,2500.0,2500.9175,0.0066,0.07055,,Axis Mutual Fund,AXISDEF,,,,,
7.60% Poonawalla Fincorp Limited (28/05/2027) **,INE511C07870,CRISIL AAA,2500.0,2499.03,0.0065,0.075782,,Axis Mutual Fund,AXISDEF,,,,,
6.87% REC Limited (31/05/2030) **,INE020B08FU0,ICRA AAA,2500.0,2485.7525,0.0065,0.07005,,Axis Mutual Fund,AXISDEF,,,,,
7.70% Bajaj Finance Limited (07/06/2027) **,INE296A07RZ4,CRISIL AAA,215.0,2165.0113,0.0057,0.0712,,Axis Mutual Fund,AXISDEF,,,,,
7.81% Uttar Pradesh State Development Loans (19/10/2034),IN3320220046,Sovereign,2000000.0,2057.694,0.0054,0.074916,,Axis Mutual Fund,AXISDEF,,,,,
7.1% Government of India (08/04/2034),IN0020240019,Sovereign,2000000.0,2057.232,0.0054,0.067527,,Axis Mutual Fund,AXISDEF,,,,,
7.22% Maharashtra State Development Loans (26/10/2026),IN2220160096,Sovereign,1500000.0,1517.013,0.004,0.058513,,Axis Mutual Fund,AXISDEF,,,,,
8.10% Godrej Industries Limited (22/05/2028) **,INE233A08154,CRISIL AA+,1500.0,1514.289,0.004,0.07615,,Axis Mutual Fund,AXISDEF,,,,,
8.75% Shriram Finance Limited (05/10/2026) **,INE721A07RQ0,CRISIL AA+,1500.0,1513.56,0.004,0.073343,,Axis Mutual Fund,AXISDEF,,,,,
7.19% JIO Credit Limited (15/03/2028) **,INE282H07018,CRISIL AAA,1500.0,1498.2465,0.0039,0.072373,,Axis Mutual Fund,AXISDEF,,,,,
7.02% Bajaj Housing Finance Limited (26/05/2028) **,INE377Y07565,CRISIL AAA,1500.0,1497.3735,0.0039,0.07075,,Axis Mutual Fund,AXISDEF,,,,,
6.81% REC Limited (30/04/2036) **,INE020B08FV8,ICRA AAA,1500.0,1448.346,0.0038,0.0729,,Axis Mutual Fund,AXISDEF,,,,,
8.55% Shriram Finance Limited (28/04/2028) **,INE721A07SP0,CRISIL AA+,1000.0,1022.789,0.0027,0.075934,,Axis Mutual Fund,AXISDEF,,,,,
8.4% Narayana Hrudayalaya Limited (15/02/2030) **,INE410P08024,ICRA AA,1000.0,1012.673,0.0027,0.0786,,Axis Mutual Fund,AXISDEF,,,,,
8.65% TVS Holdings Limited (07/06/2029) **,INE105A08022,CRISIL AA+,1000.0,1008.115,0.0026,0.07965,,Axis Mutual Fund,AXISDEF,,,,,
6.83% HDFC Bank Limited (08/01/2031) **,INE040A08864,CRISIL AAA,100.0,984.007,0.0026,0.0722,,Axis Mutual Fund,AXISDEF,,,,,
7.34% Government of India (22/04/2064),IN0020240035,Sovereign,559500.0,557.817,0.0015,0.074979,,Axis Mutual Fund,AXISDEF,,,,,
8.3439% HDB Financial Services Limited (05/07/2027) **,INE756I07EZ8,CRISIL AAA,500.0,507.821,0.0013,0.0716,,Axis Mutual Fund,AXISDEF,,,,,
8.03% Tata Steel Limited (25/02/2028) **,INE081A08330,CARE AA+,500.0,507.747,0.0013,0.072275,,Axis Mutual Fund,AXISDEF,,,,,
7.90% Mahindra & Mahindra Financial Services Limited (30/08/2027) **,INE774D07UM6,CARE AAA,50.0,505.0315,0.0013,0.07195,,Axis Mutual Fund,AXISDEF,,,,,
7.9% HDFC Bank Limited (24/08/2026) **,INE040A08484,CRISIL AAA,5.0,502.2365,0.0013,0.069793,,Axis Mutual Fund,AXISDEF,,,,,
7.64% REC Limited (30/06/2026) **,INE020B08EM0,CRISIL AAA,500.0,501.9975,0.0013,0.0655,,Axis Mutual Fund,AXISDEF,,,,,
6.39% Andhra Pradesh State Development Loans (20/05/2026),IN1020200136,Sovereign,500000.0,501.4655,0.0013,0.056515,,Axis Mutual Fund,AXISDEF,,,,,
8.50% Aadhar Housing Finance Limited (26/05/2026) **,INE883F07306,IND AA,500.0,501.3,0.0013,0.074399,,Axis Mutual Fund,AXISDEF,,,,,
8.15% Godrej Properties Limited (03/07/2026),INE484J08048,ICRA AA+,500.0,500.96,0.0013,0.0745,,Axis Mutual Fund,AXISDEF,,,,,
7.80% Mahanagar Telephone Nigam Limited (07/11/2033) **,INE153A08170,CARE AAA(CE),500.0,500.0335,0.0013,0.079481,,Axis Mutual Fund,AXISDEF,,,,,
7.4% Power Finance Corporation Limited (08/05/2030) **,INE134E08KQ1,CRISIL AAA,20.0,202.7344,0.0005,0.070087,,Axis Mutual Fund,AXISDEF,,,,,
6.24% Maharashtra State Development Loans (11/08/2026),IN2220210214,Sovereign,200000.0,200.6156,0.0005,0.05789,,Axis Mutual Fund,AXISDEF,,,,,
7.98% Bajaj Housing Finance Limited (09/09/2026) **,INE377Y07490,CRISIL AAA,150.0,150.9849,0.0004,0.068107,,Axis Mutual Fund,AXISDEF,,,,,
7.39% Indian Railway Finance Corporation Limited (15/07/2034) **,INE053F08403,CRISIL AAA,100.0,101.469,0.0003,0.0715,,Axis Mutual Fund,AXISDEF,,,,,
6.73% Kerala State Development Loans (10/06/2028),IN2020200134,Sovereign,100000.0,100.851,0.0003,0.064465,,Axis Mutual Fund,AXISDEF,,,,,
7.42% Tamilnadu State Development Loans (03/04/2034),IN3120240012,Sovereign,100000.0,100.5983,0.0003,0.074534,,Axis Mutual Fund,AXISDEF,,,,,
7.72% Maharashtra State Development Loans (25/05/2034),IN2220220072,Sovereign,50000.0,51.2348,0.0001,0.074534,,Axis Mutual Fund,AXISDEF,,,,,
Sub Total,,,,89916.7468,0.2356,,,Axis Mutual Fund,AXISDEF,,,,,
(b) Privately placed / Unlisted,,,,NIL,NIL,,,Axis Mutual Fund,AXISDEF,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISDEF,,,,,
(a) Listed / awaiting listing on Stock Exchange,,,,NIL,NIL,,,Axis Mutual Fund,AXISDEF,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISDEF,,,,,
(b) Privately placed / Unlisted,,,,NIL,NIL,,,Axis Mutual Fund,AXISDEF,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISDEF,,,,,
(c) Preference shares,,,,,,,,Axis Mutual Fund,AXISDEF,,,,,
6% TVS Motor Co Non Conv Rede Pref Shares 01SEP26 **,INE494B04019,CARE A1+,83064.0,8.4609,$0.00%,,,Axis Mutual Fund,AXISDEF,,,,,
Sub Total,,,,8.4609,$0.00%,,,Axis Mutual Fund,AXISDEF,,,,,
Total,,,,89925.2077,0.2356,,,Axis Mutual Fund,AXISDEF,,,,,
Money Market Instruments,,,,,,,,Axis Mutual Fund,AXISDEF,,,,,
Treasury Bill,,,,,,,,Axis Mutual Fund,AXISDEF,,,,,
91 Days Tbill (MD 12/03/2026),IN002025X372,Sovereign,3500000.0,3465.5005,0.0091,0.051909,,Axis Mutual Fund,AXISDEF,,,,,
182 Days Tbill (MD 22/01/2026),IN002025Y172,Sovereign,2000000.0,1993.978,0.0052,0.052492,,Axis Mutual Fund,AXISDEF,,,,,
91 Days Tbill (MD 29/01/2026),IN002025X315,Sovereign,2000000.0,1991.984,0.0052,0.052464,,Axis Mutual Fund,AXISDEF,,,,,
364 Days Tbill (MD 12/02/2026),IN002024Z446,Sovereign,1000000.0,993.939,0.0026,0.052999,,Axis Mutual Fund,AXISDEF,,,,,
Sub Total,,,,8445.4015,0.0221,,,Axis Mutual Fund,AXISDEF,,,,,
Total,,,,8445.4015,0.0221,,,Axis Mutual Fund,AXISDEF,,,,,
Reverse Repo / TREPS,,,,,,,,Axis Mutual Fund,AXISDEF,,,,,
(a) Listed / awaiting listing on Stock Exchange,,,,NIL,NIL,,,Axis Mutual Fund,AXISDEF,,,,,
Sub Total,,,,NIL,NIL,,,Axis Mutual Fund,AXISDEF,,,,,
Clearing Corporation of India Ltd,,,,8610.11,0.0226,0.052870207322306614,,Axis Mutual Fund,AXISDEF,,,,,
